qa_id,date,release_ref,area,test,evidence,expected,actual,result,owner,follow_up
QA-T0-DOM,2026-09-08T11:33:58Z,f8431478b995031131fcdf4c12d89afdb6743067,preview DOM,Read-only 390x844 home/price HTML-DOM observations,technical-baseline.json; external rendered_dom_evidence.json,Observe current behavior without writes,HTTP 200; one rendered H1 per page; noindex; no canonical/JSON-LD; no price anchor; forms disabled,PASS_OBSERVATION_ONLY,Codex,PR-01/06 five-viewport visual/accessibility/performance QA
QA-PR01-OPERATOR,2026-09-08T19:44:33.788945+00:00,7208e7cadda04273c27282a68171ea3853664510 + uncommitted PR01,OPERATOR,Operator identity/bundle/unsupported-outcome/tenant gates,External PR01 review evidence; technical-baseline.json,Bounded local acceptance; no submission or publication,Operator identity/bundle/unsupported-outcome/tenant gates,PASS,Codex,Independent review; no commit/push/PR/deploy; live outcomes UNKNOWN
QA-PR01-IMPLEMENT,2026-09-08T19:44:33.788945+00:00,7208e7cadda04273c27282a68171ea3853664510 + uncommitted PR01,IMPLEMENT,Implement authorization at recorded clean start boundary,External PR01 review evidence; technical-baseline.json,Bounded local acceptance; no submission or publication,Implement authorization at recorded clean start boundary,PASS_TO_START_EDITS_ONLY,Codex,Independent review; no commit/push/PR/deploy; live outcomes UNKNOWN
QA-PR01-UNIT,2026-09-08T19:44:33.788945+00:00,7208e7cadda04273c27282a68171ea3853664510 + uncommitted PR01,UNIT,npm test: 6/6,External PR01 review evidence; technical-baseline.json,Bounded local acceptance; no submission or publication,npm test: 6/6,PASS,Codex,Independent review; no commit/push/PR/deploy; live outcomes UNKNOWN
QA-PR01-BUILD,2026-09-08T19:44:33.788945+00:00,7208e7cadda04273c27282a68171ea3853664510 + uncommitted PR01,BUILD,preview and production builds,External PR01 review evidence; technical-baseline.json,Bounded local acceptance; no submission or publication,preview and production builds,PASS_LOCAL_ONLY,Codex,Independent review; no commit/push/PR/deploy; live outcomes UNKNOWN
QA-PR01-ARTIFACT,2026-09-08T19:44:33.788945+00:00,7208e7cadda04273c27282a68171ea3853664510 + uncommitted PR01,ARTIFACT,8/8 HTML/head/schema/links/robots/sitemap/admin/404 checks; XML parser,External PR01 review evidence; technical-baseline.json,Bounded local acceptance; no submission or publication,8/8 HTML/head/schema/links/robots/sitemap/admin/404 checks; XML parser,PASS_LOCAL_ONLY,Codex,Independent review; no commit/push/PR/deploy; live outcomes UNKNOWN
QA-PR01-BROWSER,2026-09-08T19:44:33.788945+00:00,7208e7cadda04273c27282a68171ea3853664510 + uncommitted PR01,BROWSER,20/20 technical cases at five widths + JS disabled parity; existing Chromium/WebKit intake at five widths per target,External PR01 review evidence; technical-baseline.json,Bounded local acceptance; no submission or publication,20/20 technical cases at five widths + JS disabled parity; existing Chromium/WebKit intake at five widths per target,PASS_LOCAL_ONLY,Codex,Independent review; no commit/push/PR/deploy; live outcomes UNKNOWN
QA-PR01-OUTCOME,2026-09-08T19:44:33.788945+00:00,7208e7cadda04273c27282a68171ea3853664510 + uncommitted PR01,OUTCOME,T0 record preserved; claims=[],External PR01 review evidence; technical-baseline.json,Bounded local acceptance; no submission or publication,T0 record preserved; claims=[],RECORD_VALID_ONLY,Codex,Independent review; no commit/push/PR/deploy; live outcomes UNKNOWN
QA-PR03-OPERATOR,2026-09-12T15:04:51.484370+00:00,160804ce2fd0cd759788f2ec2961b1638f7dcda8 + PR03 pre-commit source,controls,PR03 bounded acceptance,External DENTIX_PR03_ENTITY_LOCAL_EVIDENCE_2026-09-12/: operator-identity.json; validator-results.json,Source/render parity; no launch; no POST; approved facts only,Immutable 0.2.1 identity 213 files / 10 skills; bundle/skills and 47 outcome tests PASS,PASS,Codex,Draft PR review only; Ready/merge/deploy require separate authority
QA-PR03-ARTIFACT,2026-09-12T15:04:51.484370+00:00,160804ce2fd0cd759788f2ec2961b1638f7dcda8 + PR03 pre-commit source,routes/schema,PR03 bounded acceptance,External DENTIX_PR03_ENTITY_LOCAL_EVIDENCE_2026-09-12/: npm-test.log; build-preview.log; build-production.log; artifacts.log,Source/render parity; no launch; no POST; approved facts only,10 unit tests; preview + production build; 14 artifact tests PASS,PASS,Codex,Draft PR review only; Ready/merge/deploy require separate authority
QA-PR03-BROWSER,2026-09-12T15:04:51.484370+00:00,160804ce2fd0cd759788f2ec2961b1638f7dcda8 + PR03 pre-commit source,browser/safety,PR03 bounded acceptance,External DENTIX_PR03_ENTITY_LOCAL_EVIDENCE_2026-09-12/: browser_qa.json; lead_source_entry_points.json; mobile.log; founder_video_integration.json,Source/render parity; no launch; no POST; approved facts only,40 hydrated + 40 no-JS; 16 managed-team/lead fixture cases; 40 safe Chromium/WebKit mobile; 16 founder/video cases PASS; no submissions,PASS,Codex,Draft PR review only; Ready/merge/deploy require separate authority
QA-PR03-VISUAL,2026-09-12T15:04:51.484370+00:00,160804ce2fd0cd759788f2ec2961b1638f7dcda8 + PR03 pre-commit source,visual,PR03 bounded acceptance,External DENTIX_PR03_ENTITY_LOCAL_EVIDENCE_2026-09-12/: top-*.png; baseline-top-*.png; production-*.png,Source/render parity; no launch; no POST; approved facts only,390/1440 all production routes visually reviewed; existing design retained; baseline main home/price comparison,PASS,Codex,Draft PR review only; Ready/merge/deploy require separate authority
