url,status,redirect_target,indexable,robots,canonical,sitemap,inlinks,h1_count,title,description,html_lang,rendered_checked,issues,evidence_type,collected_at,normalized_path,h1,visible_language,content_purpose,inlink_urls,final_status,redirect_chain,discovery_type,gsc_metrics,backlink_metrics,professional_client_review,loss_risk
https://optidigitalagent.github.io/dentix-booking-demo/,200,,false: intentional preview noindex,"noindex,nofollow,noarchive",MISSING,HTTP_404 at preview sitemap.xml,UNKNOWN,0,DENTIX — client demo,Demo-oriented in source index.html,uk,true,Source H1 count is initial HTML only; rendered H1 count 1,HTTP source + read-only DOM,2026-09-08T11:28:45.759619+00:00,,,,,,,,,,,,
https://optidigitalagent.github.io/dentix-booking-demo/price.html,200,,false: intentional preview noindex,"noindex,nofollow,noarchive",MISSING,HTTP_404 at preview sitemap.xml,UNKNOWN,0,DENTIX — client demo,Demo-oriented in source index.html,uk,true,Source H1 count is initial HTML only; rendered H1 count 1,HTTP source + read-only DOM,2026-09-08T11:28:46.377113+00:00,,,,,,,,,,,,
https://optidigitalagent.github.io/dentix-booking-demo/robots.txt,404,,false: intentional preview noindex,"noindex,nofollow,noarchive",MISSING,HTTP_404 at preview sitemap.xml,UNKNOWN,0,DENTIX — client demo,Demo-oriented in source index.html,uk,false,HTTP sample only,HTTP source,2026-09-08T11:28:46.637965+00:00,,,,,,,,,,,,
https://optidigitalagent.github.io/dentix-booking-demo/sitemap.xml,404,,false: intentional preview noindex,"noindex,nofollow,noarchive",MISSING,HTTP_404 at preview sitemap.xml,UNKNOWN,0,DENTIX — client demo,Demo-oriented in source index.html,uk,false,HTTP sample only,HTTP source,2026-09-08T11:28:46.907169+00:00,,,,,,,,,,,,
https://optidigitalagent.github.io/dentix-booking-demo/,200 (loopback local artifact only),,false: preview noindex,"noindex,nofollow,noarchive",NONE intentional,NONE intentional preview,Local internal-link assertions PASS,1,Стоматологія DENTIX у Дніпрі — послуги та контакти — попередній перегляд,"Попередній перегляд сайту DENTIX. Стоматологічна клініка DENTIX у Дніпрі: терапія, хірургія та імплантація. Перегляньте послуги й контакти та зателефонуйте для уточнення візиту.",uk,true,IMPLEMENTED_LOCALLY; NOT_PUBLISHED; future public HTTP must be verified,LOCAL_ARTIFACT preview/index.html; browser_qa.json; html_head_assertions.json,2026-09-08T19:44:33.788945+00:00,,,,,,,,,,,,
https://optidigitalagent.github.io/dentix-booking-demo/price.html,200 (loopback local artifact only),,false: preview noindex,"noindex,nofollow,noarchive",NONE intentional,NONE intentional preview,Local internal-link assertions PASS,1,Ціни на стоматологічні послуги у Дніпрі — DENTIX — попередній перегляд,Попередній перегляд сайту DENTIX. Прайс DENTIX у Дніпрі за напрямками стоматології. Остаточну вартість та індивідуальний план підтверджує клініка. Уточніть деталі телефоном.,uk,true,IMPLEMENTED_LOCALLY; NOT_PUBLISHED; future public HTTP must be verified,LOCAL_ARTIFACT preview/price.html; browser_qa.json; html_head_assertions.json,2026-09-08T19:44:33.788945+00:00,,,,,,,,,,,,
https://dentix.ua/robots.txt,200,,NOT_APPLICABLE resource,,,not listed in observed sitemaps,0,0,,,,False,,GET HTTP source,2026-09-12T11:58:07Z,/robots.txt,,NOT_APPLICABLE,control,,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,hosting owner,Unmeasured legacy access/link loss
https://dentix.ua/,200,,eligible by observed HTTP/directives; Google indexation UNKNOWN,max-image-preview:large,https://dentix.ua/,listed,8,0,DENTIX — Стоматологія,,ru-RU,True,Source language mismatch; H1 absent,GET HTTP source; Chrome DOM headings/navigation parity,2026-09-12T11:58:08Z,/,,uk visible main copy; html ru-RU,content,https://dentix.ua/ | https://dentix.ua/2021/04/08/privet-mir/ | https://dentix.ua/author/newdentix/ | https://dentix.ua/category/bez-rubriki/ | https://dentix.ua/otzyivyi/ | https://dentix.ua/sayt-nahoditsya-na-tehnicheskom-obsluzh/ | https://dentix.ua/sitemap_index.xml | https://dentix.ua/wp-sitemap-posts-page-1.xml,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client + qualified dental reviewer,Loss of existing service/brand landing page and unknown search/link signals
https://dentix.ua/wp-sitemap.xml,200,,NOT_APPLICABLE resource,,,not listed in observed sitemaps,1,0,,,,False,,GET HTTP source,2026-09-12T11:58:10Z,/wp-sitemap.xml,,NOT_APPLICABLE,control,https://dentix.ua/robots.txt,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,hosting owner,Unmeasured legacy access/link loss
https://dentix.ua/sitemap.xml,302,https://dentix.ua/wp-sitemap.xml,NOT_APPLICABLE resource,,,not listed in observed sitemaps,0,0,,,,False,,GET HTTP source,2026-09-12T11:58:11Z,/sitemap.xml,,NOT_APPLICABLE,control,,200,"[{""from"": ""https://dentix.ua/sitemap.xml"", ""status"": 302, ""to"": ""https://dentix.ua/wp-sitemap.xml""}]",sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,hosting owner,Unmeasured legacy access/link loss
https://dentix.ua/sitemap_index.xml,404,,NOT_APPLICABLE resource,max-image-preview:large,,not listed in observed sitemaps,1,1,Страница не найдена — DENTIX,,ru-RU,False,,GET HTTP source,2026-09-12T11:58:13Z,/sitemap_index.xml,Тут ничего нет,ru-RU,control,https://dentix.ua/sitemap_index.xml,404,[],explicit probe,ACCESS_BLOCKED,UNKNOWN,hosting owner,Unmeasured legacy access/link loss
https://dentix.ua/implantatsiya/,200,,eligible by observed HTTP/directives; Google indexation UNKNOWN,max-image-preview:large,https://dentix.ua/implantatsiya/,listed,5,0,Імплантація — DENTIX,,ru-RU,False,Source language mismatch; H1 absent,GET HTTP source,2026-09-12T11:58:13Z,/implantatsiya/,,uk visible main copy; html ru-RU,content,https://dentix.ua/ | https://dentix.ua/implantatsiya/ | https://dentix.ua/lechenie-pod-mikroskopom/ | https://dentix.ua/protezirovanie/ | https://dentix.ua/wp-sitemap-posts-page-1.xml,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client + qualified dental reviewer,Loss of existing service/brand landing page and unknown search/link signals
https://dentix.ua/protezirovanie/,200,,eligible by observed HTTP/directives; Google indexation UNKNOWN,max-image-preview:large,https://dentix.ua/protezirovanie/,listed,5,0,Протезування — DENTIX,,ru-RU,False,Source language mismatch; H1 absent,GET HTTP source,2026-09-12T11:58:15Z,/protezirovanie/,,uk visible main copy; html ru-RU,content,https://dentix.ua/ | https://dentix.ua/implantatsiya/ | https://dentix.ua/lechenie-pod-mikroskopom/ | https://dentix.ua/protezirovanie/ | https://dentix.ua/wp-sitemap-posts-page-1.xml,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client + qualified dental reviewer,Loss of existing service/brand landing page and unknown search/link signals
https://dentix.ua/lechenie-pod-mikroskopom/,200,,eligible by observed HTTP/directives; Google indexation UNKNOWN,max-image-preview:large,https://dentix.ua/lechenie-pod-mikroskopom/,listed,5,0,Лікування під мікроскопом — DENTIX,,ru-RU,False,Source language mismatch; H1 absent,GET HTTP source,2026-09-12T11:58:16Z,/lechenie-pod-mikroskopom/,,uk visible main copy; html ru-RU,content,https://dentix.ua/ | https://dentix.ua/implantatsiya/ | https://dentix.ua/lechenie-pod-mikroskopom/ | https://dentix.ua/protezirovanie/ | https://dentix.ua/wp-sitemap-posts-page-1.xml,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client + qualified dental reviewer,Loss of existing service/brand landing page and unknown search/link signals
https://dentix.ua/wp-sitemap-posts-post-1.xml,200,,NOT_APPLICABLE resource,,,listed,2,0,,,,False,,GET HTTP source,2026-09-12T11:58:18Z,/wp-sitemap-posts-post-1.xml,,NOT_APPLICABLE,control,https://dentix.ua/sitemap.xml | https://dentix.ua/wp-sitemap.xml,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,hosting owner,Unmeasured legacy access/link loss
https://dentix.ua/wp-sitemap-posts-page-1.xml,200,,NOT_APPLICABLE resource,,,listed,2,0,,,,False,,GET HTTP source,2026-09-12T11:58:18Z,/wp-sitemap-posts-page-1.xml,,NOT_APPLICABLE,control,https://dentix.ua/sitemap.xml | https://dentix.ua/wp-sitemap.xml,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,hosting owner,Unmeasured legacy access/link loss
https://dentix.ua/wp-sitemap-taxonomies-category-1.xml,200,,NOT_APPLICABLE resource,,,listed,2,0,,,,False,,GET HTTP source,2026-09-12T11:58:19Z,/wp-sitemap-taxonomies-category-1.xml,,NOT_APPLICABLE,control,https://dentix.ua/sitemap.xml | https://dentix.ua/wp-sitemap.xml,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,hosting owner,Unmeasured legacy access/link loss
https://dentix.ua/wp-sitemap-users-1.xml,200,,NOT_APPLICABLE resource,,,listed,2,0,,,,False,,GET HTTP source,2026-09-12T11:58:20Z,/wp-sitemap-users-1.xml,,NOT_APPLICABLE,control,https://dentix.ua/sitemap.xml | https://dentix.ua/wp-sitemap.xml,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,hosting owner,Unmeasured legacy access/link loss
https://dentix.ua/2021/04/08/privet-mir/,200,,eligible by observed HTTP/directives; Google indexation UNKNOWN,max-image-preview:large,https://dentix.ua/2021/04/08/privet-mir/,listed,4,1,Комментарии — DENTIX,,ru-RU,False,,GET HTTP source,2026-09-12T11:58:21Z,/2021/04/08/privet-mir/,Комментарии,ru-RU,content,https://dentix.ua/2021/04/08/privet-mir/ | https://dentix.ua/author/newdentix/ | https://dentix.ua/category/bez-rubriki/ | https://dentix.ua/wp-sitemap-posts-post-1.xml,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client,Unmeasured legacy access/link loss
https://dentix.ua/sayt-nahoditsya-na-tehnicheskom-obsluzh/,200,,eligible by observed HTTP/directives; Google indexation UNKNOWN,max-image-preview:large,https://dentix.ua/sayt-nahoditsya-na-tehnicheskom-obsluzh/,listed,2,1,Техническое обслуживание. — DENTIX,,ru-RU,False,,GET HTTP source,2026-09-12T11:58:22Z,/sayt-nahoditsya-na-tehnicheskom-obsluzh/,Техническое обслуживание.,ru-RU,content,https://dentix.ua/sayt-nahoditsya-na-tehnicheskom-obsluzh/ | https://dentix.ua/wp-sitemap-posts-page-1.xml,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client,Unknown historical links; no organic-loss estimate
https://dentix.ua/otzyivyi/,200,,eligible by observed HTTP/directives; Google indexation UNKNOWN,max-image-preview:large,https://dentix.ua/otzyivyi/,listed,2,1,Отзывы — DENTIX,,ru-RU,False,,GET HTTP source,2026-09-12T11:58:23Z,/otzyivyi/,Отзывы,ru-RU,content,https://dentix.ua/otzyivyi/ | https://dentix.ua/wp-sitemap-posts-page-1.xml,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client,Unmeasured legacy access/link loss
https://dentix.ua/category/bez-rubriki/,200,,eligible by observed HTTP/directives; Google indexation UNKNOWN,max-image-preview:large,,listed,4,1,Без рубрики — DENTIX,,ru-RU,False,,GET HTTP source,2026-09-12T11:58:24Z,/category/bez-rubriki/,Рубрика: Без рубрики,ru-RU,content,https://dentix.ua/2021/04/08/privet-mir/ | https://dentix.ua/author/newdentix/ | https://dentix.ua/category/bez-rubriki/ | https://dentix.ua/wp-sitemap-taxonomies-category-1.xml,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client,Unmeasured legacy access/link loss
https://dentix.ua/author/newdentix/,200,,eligible by observed HTTP/directives; Google indexation UNKNOWN,max-image-preview:large,,listed,3,1,newdentix — DENTIX,,ru-RU,False,,GET HTTP source,2026-09-12T11:58:25Z,/author/newdentix/,Автор: newdentix,ru-RU,content,https://dentix.ua/2021/04/08/privet-mir/ | https://dentix.ua/author/newdentix/ | https://dentix.ua/wp-sitemap-users-1.xml,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client,Unmeasured legacy access/link loss
https://dentix.ua/2021/04/08/privet-mir/feed/,200,,NOT_APPLICABLE resource,,,not listed in observed sitemaps,1,0,,,,False,,GET HTTP source,2026-09-12T12:00:59Z,/2021/04/08/privet-mir/feed/,,NOT_APPLICABLE,feed,head rel=alternate,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client,Unmeasured legacy access/link loss
https://dentix.ua/author/newdentix/feed/,200,,NOT_APPLICABLE resource,,,not listed in observed sitemaps,1,0,,,,False,,GET HTTP source,2026-09-12T12:01:00Z,/author/newdentix/feed/,,NOT_APPLICABLE,feed,head rel=alternate,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client,Unmeasured legacy access/link loss
https://dentix.ua/category/bez-rubriki/feed/,200,,NOT_APPLICABLE resource,,,not listed in observed sitemaps,1,0,,,,False,,GET HTTP source,2026-09-12T12:01:01Z,/category/bez-rubriki/feed/,,NOT_APPLICABLE,feed,head rel=alternate,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client,Unmeasured legacy access/link loss
https://dentix.ua/comments/feed/,200,,NOT_APPLICABLE resource,,,not listed in observed sitemaps,1,0,,,,False,,GET HTTP source,2026-09-12T12:01:02Z,/comments/feed/,,NOT_APPLICABLE,feed,head rel=alternate,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client,Unmeasured legacy access/link loss
https://dentix.ua/elementor-5/feed/,200,,NOT_APPLICABLE resource,,,not listed in observed sitemaps,1,0,,,,False,,GET HTTP source,2026-09-12T12:01:02Z,/elementor-5/feed/,,NOT_APPLICABLE,feed,head rel=alternate,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client,Unmeasured legacy access/link loss
https://dentix.ua/feed/,200,,NOT_APPLICABLE resource,,,not listed in observed sitemaps,1,0,,,,False,,GET HTTP source,2026-09-12T12:01:03Z,/feed/,,NOT_APPLICABLE,feed,head rel=alternate,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client,Unmeasured legacy access/link loss
https://dentix.ua/otzyivyi/feed/,200,,NOT_APPLICABLE resource,,,not listed in observed sitemaps,1,0,,,,False,,GET HTTP source,2026-09-12T12:01:04Z,/otzyivyi/feed/,,NOT_APPLICABLE,feed,head rel=alternate,200,[],sitemap/anchor/head-alternate/media,ACCESS_BLOCKED,UNKNOWN,client,Unmeasured legacy access/link loss
https://www.dentix.ua/,301,https://dentix.ua/,eligible by observed HTTP/directives; Google indexation UNKNOWN,max-image-preview:large,https://dentix.ua/,not listed in observed sitemaps,0,0,DENTIX — Стоматологія,,ru-RU,False,Source language mismatch; H1 absent,GET HTTP source,2026-09-12T12:01:06Z,/,,uk visible main copy; html ru-RU,content,,200,"[{""from"": ""https://www.dentix.ua/"", ""status"": 301, ""to"": ""https://dentix.ua/""}]",explicit probe,ACCESS_BLOCKED,UNKNOWN,client,Unmeasured legacy access/link loss
